id,text,label
32674,da de unde stii u mai GSP ca banii au fost pt U cluj si nu pt cea mai dulce si mai scumpa bomboana din cluj?adik DNA nu sa pronuntat inca si vb voi mah gaozariloru cu zice base:))),ABUSE
16514,"m*uie zota m*uie zota ... m*uie
bai kakatule...stai in banca ta de arbitru prost ce esti.dc nu ai continuat k arbitru?Pt k ai fost un prost si asa ramai",INSULT
32556,PT ALA CARE ARE TREABA CU RADOI!!ESTI UNUL CARE NU ARE IDEE DE FOTBAL!!,OTHER
23861,"sunt bucuros ca Pancu nu a mai venit la Steaua,jucator de duzina.ce sa mai spere la echipa nationala caci nu mai are viziune in joc si sut slab.",OTHER
21811,"Penescule esti....PE..N
 ES..CU..LI..BI.L!!! te asemeni cu  Lita D-tru de la chiajna !!! Doi parveniti din fotbal,daca ma gandesc mai bine, DOI ratati IN A(.NA.)LE FOTBALULUI !!!Jigodii imputite!",INSULT
12331,"Ptr clujeanul ala care vede mana cfr-ului in desfiintarea  universitatii. Mai, tu esti tare dus cu pluta. Eu vreau sa va batem si la anul o data, da de va scoatem fumurile din cap.  Decat sa ma duc la Chiajana, sau pe la dracu'n praznic, mai bine va batem iara  pe voi.",INSULT
10110,"Cum mai spuneam...nu numai jucatorii sunt vinovati, ci toti...de la omul de serviciu pana la Copos si Zotta...toti au demonstrat ca nu le pasa de culori, fiecare in felul lui...trb sa-si dea demisia rednic si dupa aia sa fi spus k nu mai calca pe la Rapid, k a fost cea mai neagra perioada din viata lui...este zero ca si antrenor, insa sa plece acuma ar insemna sa pierdem orice sansa la orice anul asta.",OTHER
12957,tu vezi-ti de tara asta ma infectule ca urla foamea in noi si lasa fotbalul si treburile pe la GOLDEN SPRIT......,INSULT
32344,"Tin cu Rapid de cand ma stiu, dar in seara asta mi-e rusine! BLAT ORDINAR!Scarbe de fotbalisti!Nu pot sa cred ce rusine de meci!",INSULT
186227,HURA !!!DINAMO CAMPIOANA!!VIND PISAT...IEFTIN,PROFANITY
23468,"iar se baga in seama Frenki , oare nu se uita in oglinda saracul ca pe unde umbla ramin copii in urma din crestere asa urit e cred ca parintii ducea la gradinita in rucsac sa nu vara lunea, a mai stat si capra la cluj strimbul",OTHER
40338,"VA DAM CLASA ORINDE SI ORICAND(FOTBAL,RUGBY,POLO)ULTIMU EX A FOST LA HANDBAL UNDE NE-AM PISSSAT PE VOI BERBECILOR !FORZZA DINAMO!",INSULT
12804,"Scrie o femeie un articol si gata, va ganditi numai la pornografie. V-ati luat si de Maria Andries, de parca toate femeile care ajung sus ar trebui sa treaca prin paturile la toti temrinatii. Reeducati-va si apoi scrieti, nu poate sa aiba un barbat ganduri decente despre o femeie din cauza voastra, pentru ca le vedeti doar ca pe obiecte sexuale. Ne contaminati, plecati de pe forumurile de sport, nu avem nevoie de vocabularul asta",OTHER
12692,Trebuia sa spui de Copog gura matii de cioban nici tu nu te pricepi la fotbat ai besi Forza Rapid trecem de wolfsburg,ABUSE
21635,"ZUZU mananci kkt,daca numele de Muresan iti suna ungureste inseamna ca esti un cretin congenital,handicapatule!Oricum ungurii sunt de 10 ori mai civilizarti decat voi miticilor!",ABUSE
7286881,"Dinu era beat când a dat interviul? Întâmplător știu meciurile, chit că eram copil. Tocmai am revăzut pe Youtube golul lui Augustin din meciul cu Dinamo Minsk, că e șocant ce zice. Unde naiba a văzut el gol cu umărul?! O lovitură cu capul mai curată și mai bine plasată ca aia nici la Van Basten nu vedeai.",PROFANITY
25289,"Ca intotdeauna spurcatul si-a dat drumul la gura cum a dat de putina telemea, dar oricum noi alb visinii ne vom bucura mereu la fiecare gol al lui Lyon, Bayern si Fiorentina... Frumoasa grupa in care ste-OAIA  va face 0 pcte. Oricum imp e ca are ciobanul ches in buzunar sa aiba cu ce sa cumpere brichete si valize pt campionatul asta, ca doar pe baza asta s-au realizat mereu ""performantele"" lor, numai ca anul asta e din nou visiniu!",ABUSE
1711011,v-ati pierdut mitileeeeeeeeee? cum dracu sa il vindeti pe BORNESCU??? mai bine il vinzi pe coman nea george k are salariu mai mare :)) ... si il lasi pe straton sa creasca langa mircea :D,PROFANITY
22651,"Ma Andone ,cacanarule de ce ma jigodie il faci tigan pe Pepe cand tu ar trebui sa dai exemplu ptr. ca esti antrnor ,uiti ca tu ai echipa plina de bruneti ma rasistule am crezut ca te-ai maturizat dar se vede ca jigodie ai fost ca jucator asa esti si acum lasa ca veniti voi in Ghencea o sa-ti rozi unghiile 90 min. de abia o sa astepti sa se termine meciul o sa fiti umiliti.3-4-0 o sa luati looserilor.",ABUSE
23854,ARMATAULTRA marsh in pizda ma-tii de poponar incompetent!,ABUSE
22619,Puteti sa croncaniti cat vreti!... Noi luam campionatul! :-D))),ABUSE
25639,"da..mai nene Craiova e mai buna ca CFR Cluj si sa le fie rusine ca sau lasat invinsi..cum domnule Craiova  o echipa de sampion lig  sa fie invinsa de  ultima clasata ...hmmm miroase a blat .....ce prosti suntem
Miroase a blat in mintea  a u r o l a c i l o r de stelisti in frunte cu al lor cioban
semnat:  un roman din bucuresti",ABUSE
27204,"il huiduim il injuram,dar e al nostru si il iubim.Trece printr o faza mai proasta,orice jucator are unele greutati la un momentdat in cariera,o sa isi revina",OTHER
